 0 1000 0,  0 -1000 0
 328000 999.505 0,  -328000 -999.505 0
 329000 999.503 0,  -329000 -999.503 0
 330000 999.502 0,  -330000 -999.502 0
 331000 999.5 0,  -331000 -999.5 0
 332000 999.499 0,  -332000 -999.499 0
 333000 999.497 0,  -333000 -999.497 0
 334000 999.496 0,  -334000 -999.496 0
 335000 999.494 0,  -335000 -999.494 0
 336000 999.493 0,  -336000 -999.493 0
 337000 999.491 0,  -337000 -999.491 0
 338000 999.49 0,  -338000 -999.49 0
 339000 999.488 0,  -339000 -999.488 0
 340000 999.487 0,  -340000 -999.487 0
 341000 999.485 0,  -341000 -999.485 0
 342000 999.484 0,  -342000 -999.484 0
 343000 999.482 0,  -343000 -999.482 0
 344000 999.481 0,  -344000 -999.481 0
 345000 999.479 0,  -345000 -999.479 0
 346000 999.478 0,  -346000 -999.478 0
 347000 999.476 0,  -347000 -999.476 0
 348000 999.475 0,  -348000 -999.475 0
 349000 999.473 0,  -349000 -999.473 0
 350000 999.472 0,  -350000 -999.472 0
 351000 999.47 0,  -351000 -999.47 0
 352000 999.469 0,  -352000 -999.469 0
 353000 999.467 0,  -353000 -999.467 0
 354000 999.465 0,  -354000 -999.465 0
 355000 999.464 0,  -355000 -999.464 0
 356000 999.462 0,  -356000 -999.462 0
 357000 999.461 0,  -357000 -999.461 0
 358000 999.459 0,  -358000 -999.459 0
 359000 999.458 0,  -359000 -999.458 0
 360000 999.456 0,  -360000 -999.456 0
 361000 999.455 0,  -361000 -999.455 0
 362000 999.453 0,  -362000 -999.453 0
 363000 999.452 0,  -363000 -999.452 0
 364000 999.45 0,  -364000 -999.45 0
 365000 999.449 0,  -365000 -999.449 0
 366000 999.447 0,  -366000 -999.447 0
 367000 999.446 0,  -367000 -999.446 0
 368000 999.444 0,  -368000 -999.444 0
 369000 999.443 0,  -369000 -999.443 0
 370000 999.441 0,  -370000 -999.441 0
 371000 999.44 0,  -371000 -999.44 0
 372000 999.438 0,  -372000 -999.438 0
 373000 999.437 0,  -373000 -999.437 0
 374000 999.435 0,  -374000 -999.435 0
 375000 999.434 0,  -375000 -999.434 0
 376000 999.432 0,  -376000 -999.432 0
 377000 999.431 0,  -377000 -999.431 0
 378000 999.429 0,  -378000 -999.429 0
 379000 999.428 0,  -379000 -999.428 0
 380000 999.426 0,  -380000 -999.426 0
 381000 999.425 0,  -381000 -999.425 0
 382000 999.423 0,  -382000 -999.423 0
 383000 999.422 0,  -383000 -999.422 0
 384000 999.42 0,  -384000 -999.42 0
 385000 999.419 0,  -385000 -999.419 0
 386000 999.417 0,  -386000 -999.417 0
 387000 999.416 0,  -387000 -999.416 0
 388000 999.414 0,  -388000 -999.414 0
 389000 999.413 0,  -389000 -999.413 0
 390000 999.411 0,  -390000 -999.411 0
 391000 999.41 0,  -391000 -999.41 0
 392000 999.408 0,  -392000 -999.408 0
 393000 999.407 0,  -393000 -999.407 0
 394000 999.405 0,  -394000 -999.405 0
 395000 999.403 0,  -395000 -999.403 0
 396000 999.402 0,  -396000 -999.402 0
 397000 999.4 0,  -397000 -999.4 0
 398000 999.399 0,  -398000 -999.399 0
 399000 999.397 0,  -399000 -999.397 0
 400000 999.396 0,  -400000 -999.396 0
 401000 999.394 0,  -401000 -999.394 0
 402000 999.393 0,  -402000 -999.393 0
 403000 999.391 0,  -403000 -999.391 0
 404000 999.39 0,  -404000 -999.39 0
 405000 999.388 0,  -405000 -999.388 0
 406000 999.387 0,  -406000 -999.387 0
 407000 999.385 0,  -407000 -999.385 0
 408000 999.384 0,  -408000 -999.384 0
 409000 999.382 0,  -409000 -999.382 0
 410000 999.381 0,  -410000 -999.381 0
 411000 999.379 0,  -411000 -999.379 0
 412000 999.378 0,  -412000 -999.378 0
 413000 999.376 0,  -413000 -999.376 0
 414000 999.375 0,  -414000 -999.375 0
 415000 999.373 0,  -415000 -999.373 0
 416000 999.372 0,  -416000 -999.372 0
 417000 999.37 0,  -417000 -999.37 0
 418000 999.369 0,  -418000 -999.369 0
 419000 999.367 0,  -419000 -999.367 0
 420000 999.366 0,  -420000 -999.366 0
 421000 999.364 0,  -421000 -999.364 0
 422000 999.363 0,  -422000 -999.363 0
 423000 999.361 0,  -423000 -999.361 0
 424000 999.36 0,  -424000 -999.36 0
 425000 999.358 0,  -425000 -999.358 0
 426000 999.357 0,  -426000 -999.357 0
 427000 999.355 0,  -427000 -999.355 0
 428000 999.354 0,  -428000 -999.354 0
 429000 999.352 0,  -429000 -999.352 0
 430000 999.351 0,  -430000 -999.351 0
 431000 999.349 0,  -431000 -999.349 0
 432000 999.348 0,  -432000 -999.348 0
 433000 999.346 0,  -433000 -999.346 0
 434000 999.345 0,  -434000 -999.345 0
 435000 999.343 0,  -435000 -999.343 0
 436000 999.341 0,  -436000 -999.341 0
 437000 999.34 0,  -437000 -999.34 0
 438000 999.338 0,  -438000 -999.338 0
 439000 999.337 0,  -439000 -999.337 0
 440000 999.335 0,  -440000 -999.335 0
 441000 999.334 0,  -441000 -999.334 0
 442000 999.332 0,  -442000 -999.332 0
 443000 999.331 0,  -443000 -999.331 0
 444000 999.329 0,  -444000 -999.329 0
 445000 999.328 0,  -445000 -999.328 0
 446000 999.326 0,  -446000 -999.326 0
 447000 999.325 0,  -447000 -999.325 0
 448000 999.323 0,  -448000 -999.323 0
 449000 999.322 0,  -449000 -999.322 0
 450000 999.32 0,  -450000 -999.32 0
 451000 999.319 0,  -451000 -999.319 0
 452000 999.317 0,  -452000 -999.317 0
 453000 999.316 0,  -453000 -999.316 0
 454000 999.314 0,  -454000 -999.314 0
 455000 999.313 0,  -455000 -999.313 0
 456000 999.311 0,  -456000 -999.311 0
 457000 999.31 0,  -457000 -999.31 0
 458000 999.308 0,  -458000 -999.308 0
 459000 999.307 0,  -459000 -999.307 0
 460000 999.305 0,  -460000 -999.305 0
 461000 999.304 0,  -461000 -999.304 0
 462000 999.302 0,  -462000 -999.302 0
 463000 999.301 0,  -463000 -999.301 0
 464000 999.299 0,  -464000 -999.299 0
 465000 999.298 0,  -465000 -999.298 0
 466000 999.296 0,  -466000 -999.296 0
 467000 999.295 0,  -467000 -999.295 0
 468000 999.293 0,  -468000 -999.293 0
 469000 999.292 0,  -469000 -999.292 0
 470000 999.29 0,  -470000 -999.29 0
 471000 999.289 0,  -471000 -999.289 0
 472000 999.287 0,  -472000 -999.287 0
 473000 999.286 0,  -473000 -999.286 0
 474000 999.284 0,  -474000 -999.284 0
 475000 999.282 0,  -475000 -999.282 0
 476000 999.281 0,  -476000 -999.281 0
 477000 999.279 0,  -477000 -999.279 0
 478000 999.278 0,  -478000 -999.278 0
 479000 999.276 0,  -479000 -999.276 0
 480000 999.275 0,  -480000 -999.275 0
 481000 999.273 0,  -481000 -999.273 0
 482000 999.272 0,  -482000 -999.272 0
 483000 999.27 0,  -483000 -999.27 0
 484000 999.269 0,  -484000 -999.269 0
 485000 999.267 0,  -485000 -999.267 0
 486000 999.266 0,  -486000 -999.266 0
 487000 999.264 0,  -487000 -999.264 0
 488000 999.263 0,  -488000 -999.263 0
 489000 999.261 0,  -489000 -999.261 0
 490000 999.26 0,  -490000 -999.26 0
 491000 999.258 0,  -491000 -999.258 0
 492000 999.257 0,  -492000 -999.257 0
 493000 999.255 0,  -493000 -999.255 0
 494000 999.254 0,  -494000 -999.254 0
 495000 999.252 0,  -495000 -999.252 0
 496000 999.251 0,  -496000 -999.251 0
 497000 999.249 0,  -497000 -999.249 0
 498000 999.248 0,  -498000 -999.248 0
 499000 999.246 0,  -499000 -999.246 0
 500000 999.245 0,  -500000 -999.245 0
 501000 999.243 0,  -501000 -999.243 0
 502000 999.242 0,  -502000 -999.242 0
 503000 999.24 0,  -503000 -999.24 0
 504000 999.239 0,  -504000 -999.239 0
 505000 999.237 0,  -505000 -999.237 0
 506000 999.236 0,  -506000 -999.236 0
 507000 999.234 0,  -507000 -999.234 0
 508000 999.233 0,  -508000 -999.233 0
 509000 999.231 0,  -509000 -999.231 0
 510000 999.23 0,  -510000 -999.23 0
 511000 999.228 0,  -511000 -999.228 0
 512000 999.227 0,  -512000 -999.227 0
 513000 999.225 0,  -513000 -999.225 0
 514000 999.224 0,  -514000 -999.224 0
 515000 999.222 0,  -515000 -999.222 0
 516000 999.22 0,  -516000 -999.22 0
 517000 999.219 0,  -517000 -999.219 0
 518000 999.217 0,  -518000 -999.217 0
 519000 999.216 0,  -519000 -999.216 0
 520000 999.214 0,  -520000 -999.214 0
 521000 999.213 0,  -521000 -999.213 0
 522000 999.211 0,  -522000 -999.211 0
 523000 999.21 0,  -523000 -999.21 0
 524000 999.208 0,  -524000 -999.208 0
 525000 999.207 0,  -525000 -999.207 0
 526000 999.205 0,  -526000 -999.205 0
 527000 999.204 0,  -527000 -999.204 0
 528000 999.202 0,  -528000 -999.202 0
 529000 999.201 0,  -529000 -999.201 0
 530000 999.199 0,  -530000 -999.199 0
 531000 999.198 0,  -531000 -999.198 0
 532000 999.196 0,  -532000 -999.196 0
 533000 999.195 0,  -533000 -999.195 0
 534000 999.193 0,  -534000 -999.193 0
 535000 999.192 0,  -535000 -999.192 0
 536000 999.19 0,  -536000 -999.19 0
 537000 999.189 0,  -537000 -999.189 0
 538000 999.187 0,  -538000 -999.187 0
 539000 999.186 0,  -539000 -999.186 0
 540000 999.184 0,  -540000 -999.184 0
 541000 999.183 0,  -541000 -999.183 0
 542000 999.181 0,  -542000 -999.181 0
 543000 999.18 0,  -543000 -999.18 0
 544000 999.178 0,  -544000 -999.178 0
 545000 999.177 0,  -545000 -999.177 0
 546000 999.175 0,  -546000 -999.175 0
 547000 999.174 0,  -547000 -999.174 0
 548000 999.172 0,  -548000 -999.172 0
 549000 999.171 0,  -549000 -999.171 0
 550000 999.169 0,  -550000 -999.169 0
 551000 999.168 0,  -551000 -999.168 0
 552000 999.166 0,  -552000 -999.166 0
 553000 999.165 0,  -553000 -999.165 0
 554000 999.163 0,  -554000 -999.163 0
 555000 999.161 0,  -555000 -999.161 0
 556000 999.16 0,  -556000 -999.16 0
 557000 999.158 0,  -557000 -999.158 0
 558000 999.157 0,  -558000 -999.157 0
 559000 999.155 0,  -559000 -999.155 0
 560000 999.154 0,  -560000 -999.154 0
 561000 999.152 0,  -561000 -999.152 0
 562000 999.151 0,  -562000 -999.151 0
 563000 999.149 0,  -563000 -999.149 0
 563999 999.148 0,  -563999 -999.148 0
 564999 999.146 0,  -564999 -999.146 0
 565999 999.145 0,  -565999 -999.145 0
 566999 999.143 0,  -566999 -999.143 0
 567999 999.142 0,  -567999 -999.142 0
 568999 999.14 0,  -568999 -999.14 0
 569999 999.139 0,  -569999 -999.139 0
 570999 999.137 0,  -570999 -999.137 0
 571999 999.136 0,  -571999 -999.136 0
 572999 999.134 0,  -572999 -999.134 0
 573999 999.133 0,  -573999 -999.133 0
 574999 999.131 0,  -574999 -999.131 0
 575999 999.13 0,  -575999 -999.13 0
 576999 999.128 0,  -576999 -999.128 0
 577999 999.127 0,  -577999 -999.127 0
 578999 999.125 0,  -578999 -999.125 0
 579999 999.124 0,  -579999 -999.124 0
 580999 999.122 0,  -580999 -999.122 0
 581999 999.121 0,  -581999 -999.121 0
 582999 999.119 0,  -582999 -999.119 0
 583999 999.118 0,  -583999 -999.118 0
 584999 999.116 0,  -584999 -999.116 0
 585999 999.115 0,  -585999 -999.115 0
 586999 999.113 0,  -586999 -999.113 0
 587999 999.112 0,  -587999 -999.112 0
 588999 999.11 0,  -588999 -999.11 0
 589999 999.109 0,  -589999 -999.109 0
 590999 999.107 0,  -590999 -999.107 0
 591999 999.106 0,  -591999 -999.106 0
 592999 999.104 0,  -592999 -999.104 0
 593999 999.103 0,  -593999 -999.103 0
 594999 999.101 0,  -594999 -999.101 0
 595999 999.099 0,  -595999 -999.099 0
 596999 999.098 0,  -596999 -999.098 0
 597999 999.096 0,  -597999 -999.096 0
 598999 999.095 0,  -598999 -999.095 0
 599999 999.093 0,  -599999 -999.093 0
 600999 999.092 0,  -600999 -999.092 0
 601999 999.09 0,  -601999 -999.09 0
 602999 999.089 0,  -602999 -999.089 0
 603999 999.087 0,  -603999 -999.087 0
 604999 999.086 0,  -604999 -999.086 0
 605999 999.084 0,  -605999 -999.084 0
 606999 999.083 0,  -606999 -999.083 0
 607999 999.081 0,  -607999 -999.081 0
 608999 999.08 0,  -608999 -999.08 0
 609999 999.078 0,  -609999 -999.078 0
 610999 999.077 0,  -610999 -999.077 0
 611999 999.075 0,  -611999 -999.075 0
 612999 999.074 0,  -612999 -999.074 0
 613999 999.072 0,  -613999 -999.072 0
 614999 999.071 0,  -614999 -999.071 0
 615999 999.069 0,  -615999 -999.069 0
 616999 999.068 0,  -616999 -999.068 0
 617999 999.066 0,  -617999 -999.066 0
 618999 999.065 0,  -618999 -999.065 0
 619999 999.063 0,  -619999 -999.063 0
 620999 999.062 0,  -620999 -999.062 0
 621999 999.06 0,  -621999 -999.06 0
 622999 999.059 0,  -622999 -999.059 0
 623999 999.057 0,  -623999 -999.057 0
 624999 999.056 0,  -624999 -999.056 0
 625999 999.054 0,  -625999 -999.054 0
